file_id,category,original_source_filename,new_wixstatic_url
Portfolio_3,Portfolio,d9828b_19f40f3c1faa4237ba63d5fe42b70647~mv2.jpg,https://static.wixstatic.com/media/64b604_b0cc918ddd644adba6f403392c2cf8c6~mv2.jpeg
Portfolio_4,Portfolio,d9828b_1a1d76a9b76443d5a64141ebcf6c48ca~mv2.jpg,https://static.wixstatic.com/media/64b604_18658688112848b3a375b894dc9a9761~mv2.jpeg
Portfolio_5,Portfolio,d9828b_1b0cc28b25534bf2b516b270b3ed6e17~mv2.jpg,https://static.wixstatic.com/media/64b604_2f12bc452b22496b9086d6f5a95623ad~mv2.jpeg
Portfolio_6,Portfolio,d9828b_23e65475ee2943f694e904a9b6f5e626~mv2.jpg,https://static.wixstatic.com/media/64b604_932f794976474b779eaf5d47aa58498a~mv2.jpeg
Portfolio_7,Portfolio,d9828b_25565b9a221b43e299eb89176d40b856~mv2.jpg,https://static.wixstatic.com/media/64b604_1fb223dce671438ba6e84041ec1ae218~mv2.jpeg
Portfolio_8,Portfolio,d9828b_29642d903cff43bea796e1f479afb749~mv2.jpg,https://static.wixstatic.com/media/64b604_acb37a36f21a43ea937a7f332c0b6169~mv2.jpeg
Portfolio_9,Portfolio,d9828b_35aee13db7ca44508dc3f7b2f8571b7a~mv2.jpg,https://static.wixstatic.com/media/64b604_d8710688375f47928e359dc9b936e689~mv2.jpeg
Portfolio_10,Portfolio,d9828b_3ac1ab9c458848ff8a621af4c3385070~mv2.jpg,https://static.wixstatic.com/media/64b604_eba12b8701834579ba2a30b2bd122351~mv2.jpeg
Portfolio_11,Portfolio,d9828b_3fbb3a3fc5ec49b7865011d0ca482bc3~mv2.jpg,https://static.wixstatic.com/media/64b604_3b2ba7ecaa034316951e9df1a6c5ff74~mv2.jpeg
Portfolio_12,Portfolio,d9828b_3ffcd9422a4b4a168faafcddc8fca915~mv2.jpg,https://static.wixstatic.com/media/64b604_9225bf5be3764aff89bdf709ab0c474e~mv2.jpeg
Portfolio_13,Portfolio,d9828b_4a43c60a2a3343bdb4aad6e86ecf49cb~mv2.png,https://static.wixstatic.com/media/64b604_33ba492a11134da4bf528511adbc6375~mv2.png
Portfolio_14,Portfolio,d9828b_54c7dbff12b54ba295aa04eb7bcf09ac~mv2.jpg,https://static.wixstatic.com/media/64b604_28a42e5cd1994e2a9d2c3c73d0cdbbf4~mv2.jpeg
Portfolio_15,Portfolio,d9828b_59ded53a340e4c799b7cd5fd05869b79~mv2.jpg,https://static.wixstatic.com/media/64b604_c830989a0cc24dbebee253e0e40a7132~mv2.jpeg
Portfolio_16,Portfolio,d9828b_648f327a4a1f498286de9944091cd332~mv2.jpg,https://static.wixstatic.com/media/64b604_90ef583aa5e84c388a54b1091014dae0~mv2.jpeg
Portfolio_17,Portfolio,d9828b_65a1d84ce8814d63beab35b2edd16bb2~mv2.jpg,https://static.wixstatic.com/media/64b604_e54c155ba0154360b5f6da668c16b252~mv2.jpeg
Portfolio_18,Portfolio,d9828b_6b5322c3ac554fa38fc6e44617621092~mv2.jpg,https://static.wixstatic.com/media/64b604_f5a8ead372e44655b39aaacd298b3ef3~mv2.jpeg
Portfolio_19,Portfolio,d9828b_73730af40c8b485aba9b625fff3d6335~mv2.jpg,https://static.wixstatic.com/media/64b604_8f2c3ebd9b634367984a41fc52d1e85b~mv2.jpeg
Portfolio_20,Portfolio,d9828b_7a3674529d954a239ebcdf86611c115c~mv2.jpg,https://static.wixstatic.com/media/64b604_3fd8475e03c14f498b65cf38a78c1830~mv2.jpeg
